district,okrug,population,area_km2,avg_income_rub,lat,lon,density_per_km2
Арбат,ЦАО,36000,2.11,135000,55.75086242384337,37.594321499288235,17061.611374407585
Басманный,ЦАО,108000,8.34,98000,55.76471224381552,37.66251486561839,12949.640287769784
Замоскворечье,ЦАО,57000,4.2,112000,55.73214001616544,37.63032234548874,13571.42857142857
Красносельский,ЦАО,49000,1.62,102000,55.77200792630141,37.647322138356145,30246.91358024691
Мещанский,ЦАО,60000,4.74,105000,55.77591192103962,37.62596105891091,12658.227848101265
Пресненский,ЦАО,127000,11.66,128000,55.7619329720867,37.582250467750676,10891.938250428817
Таганский,ЦАО,124000,8.06,99000,55.743855839285686,37.66126507392858,15384.615384615383
Тверской,ЦАО,80000,7.83,140000,55.769225823350205,37.60756554010149,10217.113665389528
Хамовники,ЦАО,99000,11.96,138000,55.742075219704425,37.58947070344829,8277.591973244147
Якиманка,ЦАО,28000,4.46,142000,55.73013540287771,37.61204593884894,6278.026905829596
Хорошёво-Мнёвники,СЗАО,165000,16.2,92000,55.7825,37.4694,10185.185185185186
Митино,СЗАО,180000,11.81,88000,55.85487753519391,37.36018707080102,15241.320914479254
Строгино,СЗАО,164000,16.05,98000,55.796113372588856,37.39205080000001,10218.068535825545
Северное Тушино,СЗАО,121000,7.86,82000,55.855255773372726,37.42299293076923,15394.402035623409
Южное Тушино,СЗАО,98000,7.1,84000,55.84463566902652,37.42137397743362,13802.81690140845
Куркино,СЗАО,30000,7.2,121000,55.8920758201835,37.378785316513735,4166.666666666667
Покровское-Стрешнево,СЗАО,79000,21.84,87000,55.825914434782625,37.44819550289855,3617.2161172161173
Щукино,СЗАО,75000,7.62,95000,55.79787124772731,37.475308169886354,9842.51968503937
Алексеевский,СВАО,77000,2.66,93000,55.814952391666694,37.65222887777777,28947.36842105263
Алтуфьевский,СВАО,57000,2.27,79000,55.881129593150696,37.58927342054795,25110.13215859031
Бабушкинский,СВАО,84000,5.06,86000,55.86993224189722,37.66514697154151,16600.790513833992
